sub-	亜	ア, つ-ぐ	под-
parch	燥	ソウ, はしゃ-ぐ	сохнуть
frost	霜	ソウ、しも	иней
boisterous	騒	ソウ、さわ-ぐ, さわ-がしい	шуметь
seaweed	藻	ソウ、も	водоросль
create	造	ゾウ、つく-る	изготовлять
statue	像	ゾウ	изображение
increase	増	ゾウ、ま-す、ふ-える、ふ-やす	увеличиваться
hate	憎	ゾウ、にく-む、にく-い、にく-らしい、にく-しみ	ненавидеть
warehouse	蔵	ゾウ、くら	кладовая
presents	贈	ゾウ、（ソウ）、おく-る	подарок
entrails	臓	ゾウ	внутренности
instant	即	ソク, つ-く, つ-ける, すなわ-ち	немедленно
bundle	束	ソク, たば, たば-ねる, つか, つか-ねる	пучок
foot	足	ソク、あし、た-りる、た-る、た-す	нога
stimulate	促	ソク、うなが-す	форсировать
rule	則	ソク, のっと-る	правила
breath	息	ソク、いき	дыхание
capture	捉	ソク、とら-える	ухватить
fast	速	ソク、はや-い、はや-める、はや-まる、すみ-やか	скорость
side	側	ソク, かわ, がわ, そば	сторона
fathom	測	ソク、はか-る	измерять
vulgar	俗	ゾク	житейский
tribe	族	ゾク, やから	семья
belong	属	ゾク	принадлежать
burglar	賊	ゾク	разбойник
continue	続	ゾク、つづ-く、つづ-ける	продолжаться
graduate	卒	ソツ, お-える, お-わる	солдат
rate	率	ソツ、リツ、ひき-いる	показатель
suppose	存	ソン、ゾン	существовать
village	村	ソン、むら	деревня
grandchild	孫	ソン、まご	внук
revered	尊	ソン、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ	почитать
loss	損	ソン、そこ-なう、そこ-ねる	убыток
humble	遜	ソン, へりくだ-る	скромность
other	他	タ、ほか	другой
many	多	タ、おお-い	много
luxury	汰	タ	отбор
hit	打	ダ、う-つ, ぶ-つ	ударять
gentle	妥	ダ	компромисс
saliva	唾	ダ、つば, つばき	слюна
degenerate	堕	ダ, お-ちる	деградировать
lazy	惰	ダ	инерция
burdensome	駄	ダ, タ	вьюк
thick	太	タイ、タ、ふと-い、ふと-る	толстый
opposite	対	タイ、ツイ, むか-う	против
body	体	タイ、テイ、からだ	тело
resistant	耐	タイ、た-える	выдерживать
wait	待	タイ、ま-つ	ждать
neglect	怠	タイ、おこた-る、なま-ける	лень
womb	胎	タイ	зародыш
retreat	退	タイ, しりぞ-く, しりぞ-ける, ひ-く, の-く, の-ける, ど-く	отступать
sash	帯	タイ、お-びる、おび	пояс
peaceful	泰	タイ	спокойствие
piled high	堆	タイ, うずたか-い	груда
sack	袋	タイ、ふくろ	мешок
apprehend	逮	タイ	арест
exchange	替	タイ、か-える、か-わる	обмен
lend	貸	タイ、か-す	одалживать
group	隊	タイ	отряд
stagnate	滞	タイ、とどこお-る	застой
condition	態	タイ, わざ-と	состояние
be crowned with	戴	タイ	принимать
large	大	ダイ、タイ、おお、おお-きい、おお-いに	большой
substitute	代	ダイ、タイ、か-わる、か-える、よ、しろ	замещать
pedestal	台	ダイ、タイ, うてな	подставка
ordinal number prefix	第	ダイ	префикс числительных
topic	題	ダイ	тема
waterfall	滝	たき	водопад
home	宅	タク	дом
choose	択	タク, えら-ぶ	выбирать
swamp	沢	タク、さわ	болото
eminent	卓	タク	стол
clear (the land)	拓	タク, ひら-く	поднимать целину
consign	託	タク, かこつ-ける, かこ-つ	доверять
laundry	濯	タク, すす-ぐ, ゆす-ぐ	полоскать
consent	諾	ダク	согласие
voiced	濁	ダク、にご-る、にご-す	мутный
however	但	ただ-し	при условии
attain	達	タツ, -たち	достигать
undress	脱	ダツ、ぬ-ぐ、ぬ-げる	снимать
rob	奪	ダツ、うば-う	отнимать
shelf	棚	たな	полка
who (question word)	誰	スイ, だれ, たれ, た	кто
cinnabar	丹	タン	свинцовый сурик
daybreak	旦	タン、ダン	новый день
shouldering	担	タン、かつ-ぐ、にな-う	нести
simple	単	タン, ひとえ	одиночный
charcoal	炭	タン、すみ	уголь
gall bladder	胆	タン, きも	жёлчный пузырь
grope	探	タン、さぐ-る、さが-す	искать
thin	淡	タン、あわ-い	пресный
short	短	タン、みじか-い	короткий
sigh	嘆	タン、なげ-く、なげ-かわしい	вздыхать
edge	端	タン、はし、は、はた, はな	оконечность
rip	綻	タン、ほころ-びる	прореха
nativity	誕	タン	рождаться
forge	鍛	タン、きた-える	ковать
group	団	ダン、（トン）	группа
male	男	ダン、ナン、おとこ, お	мужчина
steps	段	ダン	ступень
cut off	断	ダン、た-つ、ことわ-る	прерывать
bullet	弾	ダン、たま 、ひ-く、はず-む、はじ-く, はじ-ける	пуля
warmth	暖	ダン、あたた-か、あたた-かい、あたた-まる、あたた-める	тёплый
discuss	談	ダン	разговор
podium	壇	ダン、（タン）	трибуна
ground	地	チ、ジ	земля
pond	池	チ、いけ	пруд
know	知	チ, し-る, し-らせる	знание
value	値	チ、ね、あたい	величина
shame	恥	チ、はじ、は-ずかしい、は-じる、は-じらう	стыд
(to) do	致	チ、いた-す	навлекать
slow	遅	チ、おそ-い、おく-れる、おく-らす	поздний
stupid	痴	チ, し-れる	слабоумие
immature	稚	チ, いとけない	детский
put	置	チ、お-く	класть
fine (not coarse)	緻	チ	детальный
bamboo	竹	チク、たけ	бамбук
livestock	畜	チク	скотина
pursue	逐	チク	один за другим
amass	蓄	チク、たくわ-える	запасать
fabricate	築	チク、きず-く	строительство
regularity	秩	チツ	упорядоченность
plug up	窒	チツ	удушье
tea	茶	チャ、サ	чай
wear	着	チャク、（ジャク）、き-る、き-せる、つ-く、つ-ける	прибытие
legitimate wife	嫡	チャク, テキ	законный
middle	中	チュウ, なか, うち, あた-る	середина
relationship	仲	チュウ、なか	посредник
insect	虫	チュウ、むし	насекомое
open sea	沖	チュウ、おき	открытое море
mid-air	宙	チュウ	космос
loyalty	忠	チュウ	преданность
pluck	抽	チュウ, ひき	извлекать
pour	注	チュウ, そそ-ぐ, さ-す, つ-ぐ	лить
daytime	昼	チュウ、ひる	дневное время
pillar	柱	チュウ、はしら	столб
inmost	衷	チュウ	искренние чувства
sake	酎	チュウ	сётю
casting	鋳	チュウ、い-る	отливать
stop-over	駐	チュウ	пребывать
renowned	著	チョ, チャク, あらわ-す, いちじる-しい	автор
savings	貯	チョ, た-める, たくわ-える	копить
ward	丁	チョウ、テイ, ひのと	четвёртый
condolences	弔	チョウ、とむら-う, とぶら-う	соболезновать
government office	庁	チョウ	администрация
portent, trillion	兆	チョウ、きざ-す、きざ-し	триллион
town	町	チョウ、まち	городок
long	長	チョウ, なが-い, おさ	длинный
challenge	挑	チョウ、いど-む	провоцировать
account book	帳	チョウ, とばり	книга для записей
stretch	張	チョウ、は-る	натягивать
carve	彫	チョウ、ほ-る	резьба
stare	眺	チョウ、なが-める	глядеть
angling	釣	チョウ、つ-る	удить
place on the head	頂	チョウ、いただ-く、いただき	вершина
bird	鳥	チョウ、とり	птица
morning	朝	チョウ、あさ	утро
paste	貼	チョウ、は-る	наклеивать
transcend	超	チョウ、こ-える、こ-す	сверх-
intestines	腸	チョウ, はらわた	кишечник
hop	跳	チョウ、は-ねる、と-ぶ	прыгать
indications	徴	チョウ	признак
ridicule	嘲	チョウ、あざけ-る	насмехаться
tide	潮	チョウ, しお, うしお	прилив
lucidity	澄	チョウ、す-む、す-ます	отстояться
investigate	調	チョウ、しら-べる、ととの-う、ととの-える	тон
listen	聴	チョウ、き-く, ゆる-す	слушать
penal	懲	チョウ、こ-りる、こ-らす、こ-らしめる	наказание
straight	直	チョク、ジキ、ただ-ちに、なお-す、なお-る, なお-き, す-ぐ	прямой
imperial order	勅	チョク, みことのり	императорский
make progress	捗	チョク, はかど-る	успешно идти
sink	沈	チン、しず-む、しず-める	погружаться
rare	珍	チン、めずら-しい	редкостный
majestic plural	朕	チン	императорское ''мы''
exhibit	陳	チン, ひ-ねる	излагать
fare	賃	チン	плата
tranquilize	鎮	チン、しず-める、しず-まる	усмирять
follow	追	ツイ、お-う	преследовать
oak	椎	ツイ	позвонок
crash	墜	ツイ, お-ちる, お-つ	свалиться
pass through	通	ツウ、（ツ）、とお-る、とお-す、かよ-う	проходить
pain	痛	ツウ、いた-い、いた-む、いた-める	боль
hillock	塚	つか	насыпь
pickling	漬	つ-ける、つ-かる	мариновать
two-mat area	坪	ヘイ, つぼ	цубо
claw	爪	ソウ, つめ, つま-	ноготь
crane	鶴	カク, つる	журавль
low	低	テイ、ひく-い、ひく-める、ひく-まる	низкий
display	呈	テイ	являть
courts	廷	テイ	суд
younger brother	弟	テイ、（ダイ）、（デ）、おとうと	младший брат
decide	定	テイ、ジョウ、さだ-める、さだ-まる、さだ-か	определять
bottom	底	テイ、そこ	дно
resist	抵	テイ	сопротивляться
residence	邸	テイ, やしき	особняк
pavilion	亭	テイ	ресторан
upright	貞	テイ, さだ	целомудрие
sovereign	帝	テイ, みかど	император
revise	訂	テイ	исправлять
garden	庭	テイ、にわ	двор
relay	逓	テイ	почтовая связь
halt	停	テイ, とめる, とまる	приостанавливать
spy	偵	テイ	выслеживать
dike	堤	テイ、つつみ	дамба
present	提	テイ、さ-げる	предлагать
extent	程	テイ、ほど	мера
rowboat	艇	テイ	катер
tighten	締	テイ、し-まる、し-める	затягивать
abandon	諦	テイ、あきら-める	махнуть рукой
mud	泥	デイ、どろ	грязь
target	的	テキ、まと	цель
flute	笛	テキ、ふえ	флейта
pinch	摘	テキ、つ-む	срывать
drip	滴	テキ、しずく、したた-る	капля
suitable	適	テキ	надлежащий
enemy	敵	テキ, かたき, かな-う	враг
drown	溺	デキ、おぼ-れる	тонуть
transfer	迭	テツ	чередование
philosophy	哲	テツ	философ
iron	鉄	テツ, くろがね	железо
penetrate	徹	テツ	насквозь
remove	撤	テツ	убирать
heaven	天	テン、あめ、（あま）	небо
code	典	テン	справочник
shop	店	テン, みせ, たな	магазин
point	点	テン, つ-ける, つ-く, た-てる, さ-す, とぼ-す, とも-す, ぼち	точка
expand	展	テン	выставка
annexed	添	テン、そ-える、そ-う	добавлять
revolve	転	テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶ, まろ-ぶ	поворачиваться
fill in	填	テン, はま-る, は-める, うず-める	наполнять
rice paddy	田	デン、た	рисовое поле
transmit	伝	デン、つた-わる、つた-える、つた-う	передавать
Mr.	殿	デン、テン、との、どの	дворец
electricity	電	デン	электричество
Big Dipper	斗	ト	ковш
spit	吐	ト, は-く, つ-く	изрыгать
jealousy	妬	ト、ねた-む, そね-む	ревность
junior	徒	ト, あだ	последователь
route	途	ト	путь
metropolis	都	ト、ツ、みやこ	столица
transit	渡	ト、わた-る、わた-す	переправляться
paint	塗	ト、ぬ-る, まみ-れる	намазывать
gamble	賭	ト、か-ける	азартная игра
soil	土	ド、ト、つち	земля
guy	奴	ド, やつ, やっこ	парень
toil	努	ド、つと-める	стараться
degrees	度	ド、（ト）、（タク）、たび	градус
angry	怒	ド, ヌ, いか-る, おこ-る	гнев
sword	刀	トウ, かたな, そり	катана
winter	冬	トウ, ふゆ	зима
lamp	灯	トウ, ひ, ほ-, ともしび, とも-す, あかり	лампа
hit	当	トウ、あ-たる、あ-てる, まさ-に	данный
throw	投	トウ、な-げる	бросать
beans	豆	トウ、（ズ）、まめ	боб
east	東	トウ、ひがし	восток
arrival	到	トウ	доходить
escape	逃	トウ、に-げる、に-がす、のが-す、のが-れる	убегать
overthrow	倒	トウ、たお-れる、たお-す	валиться
frozen	凍	トウ、こお-る、こご-える, い-てる, し-みる	замерзать
T'ang	唐	トウ、から	династия Тан
island	島	トウ、しま	остров
peach tree	桃	トウ、もも	персик
chastise	討	トウ、う-つ	подавлять
transparent	透	トウ、す-く、す-かす、す-ける, とう-る, とう-す	прозрачный
group	党	トウ	партия
lament	悼	トウ、いた-む	оплакивать
steal	盗	トウ、ぬす-む	красть
pottery	陶	トウ	керамика
pagoda	塔	トウ	башня
board	搭	トウ	погрузка
ridgepole	棟	トウ、むね、（むな）	конёк
hot water	湯	トウ、ゆ	горячая вода
pox	痘	トウ	оспа
climb	登	トウ、ト、のぼ-る	взбираться
answer	答	トウ、こた-える、こた-え	ответ
class	等	トウ, ひと-しい, など, -ら	равный
cylinder	筒	トウ、つつ	трубка
unite	統	トウ、す-べる	объединять
rice plant	稲	トウ、いね、（いな）	посевной рис
step	踏	トウ、ふ-む、ふ-まえる	ступать
sugar	糖	トウ	сахар
head	頭	トウ、ズ、（ト）、あたま、かしら, かぶり	голова
mimeograph	謄	トウ	копирование
wisteria	藤	トウ、ふじ	глициния
fight	闘	トウ、たたか-う	бороться
inflation	騰	トウ	рост цен
same	同	ドウ、おな-じ	одинаковый
den	洞	ドウ、ほら	пещера
trunk	胴	ドウ	туловище
move	動	ドウ、うご-く、うご-かす	двигаться
public chamber	堂	ドウ	зал
juvenile	童	ドウ、わらべ	дитя
road	道	ドウ、（トウ）、みち	дорога
work	働	ドウ、はたら-く	работать
copper	銅	ドウ, あかがね	медь
guide	導	ドウ、みちび-く	вести
pupil	瞳	ドウ、ひとみ	зрачок
mountain peak	峠	とうげ	перевал
hide	匿	トク, かくま-う	укрывать
special	特	トク	особый
acquire	得	トク、え-る、う-る	прибыль
coach	督	トク	командовать
benevolence	徳	トク	нравственность
fervent	篤	トク, あつ-い	преданный
poison	毒	ドク	яд
alone	独	ドク、ひと-り	сам
read	読	ドク、トク、（トウ）、よ-む	читать
horse chestnut	栃	（とち）	конский каштан
convex	凸	トツ, でこ	выпуклый
stab	突	トツ、つ-く	ударять
deliver	届	とど-ける、とど-く	извещение
barracks	屯	トン	военный лагерь
pork	豚	トン、ぶた	свинья
suddenly	頓	トン, とん-と, とみ-に	внезапный
covet	貪	ドン、むさぼ-る	ненасытность
dull	鈍	ドン、にぶ-い、にぶ-る, なま-る, なまく-ら	тупой
cloudy weather	曇	ドン、くも-る	пасмурный
bowl of food	丼	どんぶり、（どん）	миска
what	那	ナ	наха
what	奈	ナ, いかん	Нара
inside	内	ナイ、（ダイ）、うち	внутри
pear tree	梨	リ, なし	груша
riddle	謎	なぞ	загадка
pot	鍋	なべ	кастрюля
south	南	ナン、（ナ）、みなみ	юг
soft	軟	ナン、やわ-らか、やわ-らかい	мягкий
difficult	難	ナン、かた-い、むずか-しい, -にく-い	трудный
two	二	ニ、ふた、ふた-つ	два
nun	尼	ニ、あま	монахиня
two (falsification prevention)	弐	ニ	два
scent	匂	にお-う	запах
meat	肉	ニク, しし	мясо
rainbow	虹	コウ, にじ	радуга
day	日	ニチ、ジツ、ひ、か	день
enter	入	ニュウ、い-る、い-れる、はい-る	входить
milk	乳	ニュウ、ちち、ち	молоко
urine	尿	ニョウ	моча
responsibility	任	ニン、まか-せる、まか-す	назначение
pregnancy	妊	ニン, はら-む, みごも-る	беременная
endure	忍	ニン、しの-ぶ、しの-ばせる	ниндзя
recognize	認	ニン、みと-める, したた-める	признавать
rather	寧	ネイ, むし-ろ	вежливый
heat	熱	ネツ、あつ-い	горячий
year	年	ネン、とし	год
thought	念	ネン	мысль
twist	捻	ネン, ね-じる, ねじ-る, ひね-くる, ひね-る	закручивать
sticky	粘	ネン、ねば-る	липкий
burn	燃	ネン、も-える、も-やす、も-す	гореть
trouble	悩	ノウ、なや-む、なや-ます, なや-ましい	страдать
settlement	納	ノウ、（ナッ）、（ナ）、（ナン）、（トウ）、おさ-める、おさ-まる	уплата
ability	能	ノウ, よ-く	способность
brain	脳	ノウ	мозг
farming	農	ノウ	земледелие
concentrated	濃	ノウ、こ-い	густой
grasp	把	ハ	вязанка
wave	波	ハ、なみ	волна
sect	派	ハ	группировка
rend	破	ハ、やぶ-る、やぶ-れる	ломать
hegemony	覇	ハ	господство
horse	馬	バ、うま、（ま）	лошадь
old woman	婆	バ, ばば, ばあ	старуха
insult	罵	バ、ののし-る	бранить
worship	拝	ハイ、おが-む	поклоняться
counter for cupfuls	杯	ハイ、さかずき	чарка
back	背	ハイ、せ、せい、そむ-く、そむ-ける	спина
lungs	肺	ハイ	лёгкие
haiku	俳	ハイ	хайку
distribute	配	ハイ、くば-る	распределять
repudiate	排	ハイ	устранять
failure	敗	ハイ、やぶ-れる	поражение
abolish	廃	ハイ、すた-れる、すた-る	упразднять
comrade	輩	ハイ, -ばら, やから, ともがら	товарищ
sell	売	バイ、う-る、う-れる	продавать
double	倍	バイ	удваивать
ume (Japanese apricot)	梅	バイ、うめ	слива
cultivate	培	バイ、つちか-う	выращивать
obeisance	陪	バイ	принимать участие
mediator	媒	バイ	посредник
buy	買	バイ、か-う	покупать
compensation	賠	バイ	возмещать
white	白	ハク、ビャク、しろ、（しら）、しろ-い	белый
chief	伯	ハク	граф
clap	拍	ハク、（ヒョウ）	хлопать
overnight	泊	ハク、と-まる、と-める	ночевать
urge	迫	ハク、せま-る	наседать
peel	剥	ハク、は-がす、は-ぐ、は-がれる、は-げる, むく	обдирать
liner	舶	ハク	лайнер
Dr.	博	ハク、（バク）	эрудиция
dilute	薄	ハク、うす-い、うす-める、うす-まる、うす-らぐ、うす-ら、うす-れる, すすき	тонкий
wheat	麦	バク、むぎ	хлебные злаки
vague	漠	バク	бескрайний
truss	縛	バク、しば-る	связывать
explode	爆	バク, は-ぜる	взрыв
box	箱	はこ	ящик
chopsticks	箸	はし	палочки
farm	畑	はた、はたけ	плантация
texture	肌	はだ	кожа
eight	八	ハチ、や、や-つ、やっ-つ、（よう）	восемь
bowl	鉢	ハチ、（ハツ）	горшок
departure	発	ハツ、ホツ, た-つ	испускать
hair of the head	髪	ハツ、かみ	волосы
fell	伐	バツ, き-る, う-つ	рубить
slip out	抜	バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる	вытаскивать
penalty	罰	バツ、バチ	наказывать
clique	閥	バツ	клика
anti-	反	ハン、（ホン）、（タン）、そ-る、そ-らす, かえ-す, かえ-る	против
half	半	ハン、なか-ば	половина
spread out	氾	ハン	половодье
crime	犯	ハン、おか-す	преступник
sail	帆	ハン、ほ	парус
pan-	汎	ハン	пан-
consort	伴	ハン、バン、ともな-う	сопровождать
judge	判	ハン, バン, わか-る	судить
slope	坂	ハン、さか	склон
heights	阪	ハン, さか	Осака
board	板	ハン、バン、いた	доска
printing block	版	ハン	издание
squad	班	ハン	бригада
paddy-ridge	畔	ハン, あぜ, くろ, ほとり	прибрежье
generally	般	ハン	категория
marketing	販	ハン	сбывать
blemish	斑	ハン, ふ, まだら	пятно
meal	飯	ハン、めし	варёный рис
conveyor	搬	ハン	перевозить
anxiety	煩	ハン、（ボン）、わずら-う、わずら-わす	заботы
partition	頒	ハン	раздавать
pattern	範	ハン	образец
luxuriant	繁	ハン, しげ-る, しげ-く	разрастаться
clan	藩	ハン	клан
nightfall	晩	バン	вечер
one's turn	番	バン, つが-い	черёд
barbarian	蛮	バン	дикарь
tray	盤	バン	диск
compare	比	ヒ、くら-べる	сравнивать
skin	皮	ヒ、かわ	кожа
queen	妃	ヒ, きさき	принцесса
negate	否	ヒ, いな, いや	или нет
criticism	批	ヒ	критика
he	彼	ヒ、かれ、（かの）	он
expose	披	ヒ	раскрывать
fertilizer	肥	ヒ, こ-える, こえ, こ-やす, こ-やし, ふと-る	удобрение
negative	非	ヒ, あら-ず	не
lowly	卑	ヒ、いや-しい、いや-しむ、いや-しめる	вульгарный
fly	飛	ヒ、と-ぶ、と-ばす	летать
exhausted	疲	ヒ, つか-れる,つか-らす	усталость
secret	秘	ヒ、ひ-める, ひそ-か	тайна
incur	被	ヒ, こうむ-る, おお-う, かぶ-る, かぶ-せる	подвергаться
sad	悲	ヒ、かな-しい、かな-しむ	печальный
front door	扉	ヒ、とびら	створчатая дверь
expense	費	ヒ、つい-やす、つい-える	расходы
tombstone	碑	ヒ, いしぶみ	надгробие
quit	罷	ヒ, まか-り-, や-める	забастовка
evade	避	ヒ, さ-ける, よ-ける	избегать
tail	尾	ビ、お	хвост
eyebrow	眉	ビ、（ミ）、まゆ	бровь
beauty	美	ビ, ミ, うつく-しい	красивый
provide	備	ビ, そな-える, そな-わる, つぶさ-に	приготовления
delicate	微	ビ, かす-か	мельчайший
nose	鼻	ビ、はな	нос
knee	膝	シツ, ひざ	колено
elbow	肘	チュウ, ひじ	локоть
equal	匹	ヒツ、ひき	животные
without fail	必	ヒツ、かなら-ず	обязательно
ooze	泌	ヒツ、ヒ	секреция
writing brush	筆	ヒツ、ふで	кисть
princess	姫	キ, ひめ	барышня
hundred	百	ヒャク, ビャク, もも	сто
ice	氷	ヒョウ, こおり, ひ, こお-る	лёд
express	表	ヒョウ、おもて、あらわ-す、あらわ-れる	выражать
bag	俵	ヒョウ、たわら	соломенный мешок
ballot	票	ヒョウ	голосовать
evaluate	評	ヒョウ	суждение
drift	漂	ヒョウ、ただよ-う	дрейф
signpost	標	ヒョウ, しるべ, しるし	знак
seedling	苗	ビョウ、なえ、（なわ）	рассада
second (part of time)	秒	ビョウ	секунда
sick	病	ビョウ、（ヘイ）、や-む、やまい	болеть
sketch	描	ビョウ、えが-く、か-く	рисовать
cat	猫	ビョウ、ねこ	кошка
article	品	ヒン, ホン, しな	товар
seacoast	浜	ヒン、はま	Иокогама
poor	貧	ヒン、ビン、まず-しい	бедный
V.I.P.	賓	ヒン	почётный гость
repeatedly	頻	ヒン, しき-りに	часто
cleverness	敏	ビン, さとい	проворный
flower pot	瓶	ビン, かめ	бутылка
non-	不	フ、ブ	не
husband	夫	フ, フウ, ブ, おっと, そ-れ	муж
father	父	フ、ちち	отец
attach	付	フ、つ-ける、つ-く	прикреплять
linen	布	フ、ぬの	ткань
aid	扶	フ, たす-ける	денежная поддержка
urban prefecture	府	フ	правительство
dreadful	怖	フ、こわ-い, こわ-がる, お-じる, おそ-れる	страшный
mound	阜	（フ）	Гифу
affixed	附	フ, つ-ける, つ-く	прикреплять
obituary	訃	フ	сообщение о смерти
lose	負	フ、ま-ける、ま-かす、お-う	отрицательный
proceed	赴	フ、おもむ-く	направляться
floating	浮	フ、う-く、う-かれる、う-かぶ、う-かべる	всплывать
lady	婦	フ, よめ	дама
token	符	フ	ярлык
rich	富	フ、（フウ）、と-む、とみ	богатство
universal	普	フ, あまね-く, あまねし	распространённый
rot	腐	フ、くさ-る、くさ-れる、くさ-らす	гнить
spread	敷	フ、し-く	стелить
skin	膚	フ, はだ	кожа
levy	賦	フ, ブ	взнос
musical score	譜	フ	ноты
scorn	侮	ブ, あなど-る, あなず-る	оскорблять
military	武	ブ, ム, たけ-し	военный
part	部	ブ, -べ	часть
dance	舞	ブ、ま-う、まい	танцевать
seal	封	フウ、ホウ	запечатывать
wind	風	フウ、（フ）、かぜ、（かざ）	ветер
prostrated	伏	フク、ふ-せる、ふ-す	ложиться
clothes	服	フク	одежда
vice	副	フク	вспомогательный
breadth	幅	フク、はば	ширина
again	復	フク, また	восстановление
luck	福	フク	счастье
abdomen	腹	フク、はら	живот
duplicate	複	フク	двойной
capsize	覆	フク、おお-う、くつがえ-す、くつがえ-る	покрывать
pay	払	フツ、はら-う	платить
seethe	沸	フツ、わ-く、わ-かす	кипеть
Buddha	仏	ブツ, フツ, ほとけ	Будда
thing	物	ブツ、モツ、もの	вещь
flour	粉	フン、こ、こな	порошок
distract	紛	フン、まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしい	беспорядочный
atmosphere	雰	フン	атмосфера
erupt	噴	フン、ふ-く	извергать
tomb	墳	フン	курган
aroused	憤	フン、いきどお-る	негодовать
stirred up	奮	フン、ふる-う	воодушевление
minute	分	ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ	доля
writing	文	ブン, モン, ふみ, あや	литература
hear	聞	ブン、モン、き-く、き-こえる	слышать
third class	丙	ヘイ, ひのえ	третий
flat	平	ヘイ、ビョウ、たい-ら、ひら	плоский
soldier	兵	ヘイ, ヒョウ, つわもの	солдат
join	併	ヘイ、あわ-せる	вместе
line-up	並	ヘイ、なみ、なら-べる、なら-ぶ、なら-びに	выстраивать
design	柄	ヘイ, がら, え, つか	рукоятка
highness	陛	ヘイ	его Величество
closed	閉	ヘイ、と-じる、と-ざす、し-める、し-まる, た-てる	закрывать
fence	塀	ヘイ	ограда
cash	幣	ヘイ, ぬさ	валюта
abuse	弊	ヘイ	зло
cover	蔽	ヘイ, おお-う	заслонять
mochi rice cake	餅	ヘイ、もち, もちい	лепёшка
rice	米	ベイ、マイ、こめ, よね	рис
wall	壁	ヘキ、かべ	стена
sphere	璧	ヘキ, たま	драгоценный диск
mannerism	癖	ヘキ、くせ	привычка
separate	別	ベツ, わか-れる, わ-ける	отдельный
ignore	蔑	ベツ, ないがしろ, なみ-する,  さげす-む	презирать
one-sided	片	ヘン、かた	один из двух
environs	辺	ヘン, あた-り, ほと-り, -べ	окрестности
return	返	ヘン、かえ-す、かえ-る	ответ
change	変	ヘン、か-わる、か-える	меняться
partial	偏	ヘン、かたよ-る	отклонение
everywhere	遍	ヘン, あまね-く	вездесущий
compile	編	ヘン、あ-む	вязать
valve	弁	ベン, ヘン, わきま-える, わ-ける, はなびら	речь
convenience	便	ベン、ビン、たよ-り	почта
exertion	勉	ベン, つと-める	прилежный
walk	歩	ホ、ブ、（フ）、ある-く、あゆ-む	ходить
preserve	保	ホ, ホウ, たも-つ	сохранять
suckle	哺	ホ	вскармливать
catch	捕	ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる	хватать
supplement	補	ホ、おぎな-う	восполнять
pavement	舗	ホ	мостить
mother	母	ボ、はは	мать
recruit	募	ボ、つの-る	вербовать
grave	墓	ボ、はか	могила
pining	慕	ボ、した-う	обожать
livelihood	暮	ボ、く-れる、く-らす	сумерки
register	簿	ボ	конторская книга
direction	方	ホウ、かた	сторона
wrap	包	ホウ、つつ-む, くる-む	обёртывать
perfume	芳	ホウ、かんば-しい	душистый
home country	邦	ホウ, くに	родная страна
observance	奉	ホウ、（ブ）、たてまつ-る, まつ-る	преподносить
treasure	宝	ホウ、たから	сокровище
embrace	抱	ホウ、だ-く、いだ-く、かか-える	обхватывать
release	放	ホウ、はな-す、はな-つ、はな-れる、ほう-る	отпускать
method	法	ホウ、（ハッ）、（ホッ）	закон
bubbles	泡	ホウ、あわ	пена
placenta	胞	ホウ	плацента
salary	俸	ホウ	жалованье
emulate	倣	ホウ、なら-う	подражать
summit	峰	ホウ、みね	вершина
cannon	砲	ホウ	пушка
crumble	崩	ホウ、くず-れる、くず-す	рушиться
visit	訪	ホウ、おとず-れる、たず-ねる, と-う	посещать
report	報	ホウ、むく-いる	информация
bee	蜂	ホウ、はち	пчела
bountiful	豊	ホウ、ゆた-か, とよ	обильный
sated	飽	ホウ、あ-きる、あ-かす, あ-く	приедаться
praise	褒	ホウ、ほ-める	хвалить
sew	縫	ホウ、ぬ-う	шить
deceased	亡	ボウ、（モウ）、な-い, ほろ-びる, ほろ-ぶ, ほろ-ぼす	покойный
scarce	乏	ボウ, とぼ-しい, とも-しい	скудный
busy	忙	ボウ、いそが-しい, せわ-しい	занятой
boy	坊	ボウ、（ボッ）	мальчик
disturb	妨	ボウ、さまた-げる	препятствовать
forget	忘	ボウ、わす-れる	забывать
prevent	防	ボウ、ふせ-ぐ	предотвращать
tassel	房	ボウ、ふさ	камера
obese	肪	ボウ	жир
so-and-so	某	ボウ, それがし, なにがし	некий
risk	冒	ボウ、おか-す	отважиться
divide	剖	ボウ	вскрытие
spinning	紡	ボウ、つむ-ぐ	прясть
hope	望	ボウ、モウ、のぞ-む, もち	надеяться
bystander	傍	ボウ、かたわ-ら, わき, おか-, はた, そば	сбоку
cap	帽	ボウ	головной убор
rod	棒	ボウ	палка
trade	貿	ボウ	торговля
appearance	貌	ボウ, かたち	внешность
outburst	暴	ボウ、（バク）、あば-く、あば-れる	насилие
swell	膨	ボウ、ふく-らむ、ふく-れる	разбухать
conspire	謀	ボウ、（ム）、はか-る, たばか-る, はかりごと	замышлять
cheek	頬	ほお, ほほ	щека
